2026-03-17 16:10:59 | INFO     | firstsilicon-product-run:<module>:27 | {'type': 'PPN', 'datasheets': [{'raw_path': 'https://www.firstsilicon.co.kr/pro10/business/download?cate_id=0101&pd_id=262&pf_id=0'}], 'product': {'brand': 'firstsilicon', 'country': '韩国', 'ds': '官网', 'status': '量产', 'category': 'IC-BIP^Genreal Purpuse Regulator', 'product_number': 'FR7805D'}}解析完成
2026-03-17 16:10:59 | INFO     | common.mq.mq_producer:send_message:120 | Message PROD-DARWIN-DISPATCH-RECORD sent successfully. Message ID: 01F068E34815F5267809CAA6930000000A
2026-03-17 16:10:59 | INFO     | firstsilicon-product-run:<module>:27 | {'type': 'PPN', 'datasheets': [{'raw_path': 'https://www.firstsilicon.co.kr/pro10/business/download?cate_id=0101&pd_id=271&pf_id=0'}], 'product': {'brand': 'firstsilicon', 'country': '韩国', 'ds': '官网', 'status': '量产', 'category': 'IC-BIP^Genreal Purpuse Regulator', 'product_number': 'FR7805DD'}}解析完成
2026-03-17 16:10:59 | INFO     | common.mq.mq_producer:send_message:120 | Message PROD-DARWIN-DISPATCH-RECORD sent successfully. Message ID: 01F068E34815F5267809CAA6930000000B
2026-03-17 16:10:59 | INFO     | firstsilicon-product-run:<module>:27 | {'type': 'PPN', 'datasheets': [{'raw_path': 'https://www.firstsilicon.co.kr/pro10/business/download?cate_id=0101&pd_id=5420&pf_id=0'}], 'product': {'brand': 'firstsilicon', 'country': '韩国', 'ds': '官网', 'status': '量产', 'category': 'IC-BIP^Genreal Purpuse Regulator', 'product_number': 'FR7805F'}}解析完成
2026-03-17 16:10:59 | INFO     | common.mq.mq_producer:send_message:120 | Message PROD-DARWIN-DISPATCH-RECORD sent successfully. Message ID: 01F068E34815F5267809CAA6930000000C
2026-03-17 16:10:59 | INFO     | firstsilicon-product-run:<module>:27 | {'type': 'PPN', 'datasheets': [{'raw_path': 'https://www.firstsilicon.co.kr/pro10/business/download?cate_id=0101&pd_id=253&pf_id=0'}], 'product': {'brand': 'firstsilicon', 'country': '韩国', 'ds': '官网', 'status': '量产', 'category': 'IC-BIP^Genreal Purpuse Regulator', 'product_number': 'FR7805P'}}解析完成
2026-03-17 16:10:59 | INFO     | common.mq.mq_producer:send_message:120 | Message PROD-DARWIN-DISPATCH-RECORD sent successfully. Message ID: 01F068E34815F5267809CAA6930000000D
2026-03-17 16:10:59 | INFO     | firstsilicon-product-run:<module>:27 | {'type': 'PPN', 'datasheets': [{'raw_path': 'https://www.firstsilicon.co.kr/pro10/business/download?cate_id=0101&pd_id=3936&pf_id=0'}], 'product': {'brand': 'firstsilicon', 'country': '韩国', 'ds': '官网', 'status': '量产', 'category': 'IC-BIP^Genreal Purpuse Regulator', 'product_number': 'FR7805T'}}解析完成
2026-03-17 16:10:59 | INFO     | common.mq.mq_producer:send_message:120 | Message PROD-DARWIN-DISPATCH-RECORD sent successfully. Message ID: 01F068E34815F5267809CAA6930000000E
2026-03-17 16:10:59 | INFO     | firstsilicon-product-run:<module>:27 | {'type': 'PPN', 'datasheets': [{'raw_path': 'https://www.firstsilicon.co.kr/pro10/business/download?cate_id=0101&pd_id=263&pf_id=0'}], 'product': {'brand': 'firstsilicon', 'country': '韩国', 'ds': '官网', 'status': '量产', 'category': 'IC-BIP^Genreal Purpuse Regulator', 'product_number': 'FR7806D'}}解析完成
2026-03-17 16:10:59 | INFO     | common.mq.mq_producer:send_message:120 | Message PROD-DARWIN-DISPATCH-RECORD sent successfully. Message ID: 01F068E34815F5267809CAA6930000000F
2026-03-17 16:10:59 | INFO     | firstsilicon-product-run:<module>:27 | {'type': 'PPN', 'datasheets': [{'raw_path': 'https://www.firstsilicon.co.kr/pro10/business/download?cate_id=0101&pd_id=272&pf_id=0'}], 'product': {'brand': 'firstsilicon', 'country': '韩国', 'ds': '官网', 'status': '量产', 'category': 'IC-BIP^Genreal Purpuse Regulator', 'product_number': 'FR7806DD'}}解析完成
2026-03-17 16:10:59 | INFO     | common.mq.mq_producer:send_message:120 | Message PROD-DARWIN-DISPATCH-RECORD sent successfully. Message ID: 01F068E34815F5267809CAA69300000010
2026-03-17 16:10:59 | INFO     | firstsilicon-product-run:<module>:27 | {'type': 'PPN', 'datasheets': [{'raw_path': 'https://www.firstsilicon.co.kr/pro10/business/download?cate_id=0101&pd_id=5421&pf_id=0'}], 'product': {'brand': 'firstsilicon', 'country': '韩国', 'ds': '官网', 'status': '量产', 'category': 'IC-BIP^Genreal Purpuse Regulator', 'product_number': 'FR7806F'}}解析完成
2026-03-17 16:10:59 | INFO     | common.mq.mq_producer:send_message:120 | Message PROD-DARWIN-DISPATCH-RECORD sent successfully. Message ID: 01F068E34815F5267809CAA69300000011
2026-03-17 16:10:59 | INFO     | firstsilicon-product-run:<module>:27 | {'type': 'PPN', 'datasheets': [{'raw_path': 'https://www.firstsilicon.co.kr/pro10/business/download?cate_id=0101&pd_id=254&pf_id=0'}], 'product': {'brand': 'firstsilicon', 'country': '韩国', 'ds': '官网', 'status': '量产', 'category': 'IC-BIP^Genreal Purpuse Regulator', 'product_number': 'FR7806P'}}解析完成
2026-03-17 16:10:59 | INFO     | common.mq.mq_producer:send_message:120 | Message PROD-DARWIN-DISPATCH-RECORD sent successfully. Message ID: 01F068E34815F5267809CAA69300000012
